YEAR,ZIPCODE,STATE,REGION,Nearest_UrgentCare,Nearest_emDepart,Nearest_medICU,Nearest_traumaCenter,Nearest_pedICU,Nearest_healthClinic,percent_uninsured,Median_household_income,STATE_ABBR
2020,95926,California,West,0.63,0.11,0.11,0.11,75.95,0.65,7.35,51838.0,CA
2020,95929,California,West,0.72,1.04,1.04,1.04,74.87,1.77,6.34,56204.0,CA
2020,95928,California,West,1.27,2.15,2.15,2.15,74.06,2.49,6.34,56204.0,CA
2020,95932,California,West,8.24,0.6,0.6,22.87,51.96,0.18,4.89,55284.0,CA
2020,95937,California,West,22.33,15.49,15.49,15.49,33.36,11.55,4.41,41125.0,CA
2020,95938,California,West,6.49,7.3,7.3,7.3,68.57,7.89,3.24,83606.0,CA
2020,95939,California,West,30.04,17.74,32.2,32.2,41.97,10.83,18.05,46125.0,CA
2020,95941,California,West,23.63,14.51,14.51,32.15,54.18,5.02,12.62,58654.0,CA
2020,95942,California,West,10.49,11.73,11.73,16.19,83.49,5.77,0.0,174028.0,CA
2020,95943,California,West,14.38,10.54,14.31,14.31,69.49,10.13,0.0,71250.0,CA
2020,95924,California,West,2.42,2.05,2.05,30.81,33.77,1.32,5.68,51530.0,CA
2020,95712,California,West,6.38,6.01,6.01,30.14,31.14,4.83,5.68,51530.0,CA
2020,95945,California,West,1.8,1.16,1.16,30.07,34.01,1.35,5.68,51530.0,CA
2020,95946,California,West,8.69,8.02,8.02,21.99,32.71,8.12,4.67,68242.0,CA
2020,95947,California,West,21.11,1.81,44.11,21.04,72.31,1.81,2.74,43194.0,CA
2020,95948,California,West,14.85,0.63,0.63,16.19,48.61,0.31,7.82,56667.0,CA
2020,95949,California,West,8.13,7.33,7.33,26.6,27.66,7.46,4.28,80216.0,CA
2020,95950,California,West,15.46,13.17,13.17,18.44,39.61,8.28,22.27,33309.0,CA
2020,95951,California,West,9.13,8.98,8.98,8.98,75.05,0.41,8.03,51890.0,CA
